postcode,start_time,status,data_source,extracted_at
"CV2 5HU, CV2 5HW, CV2 5HT, CV2 5HD, CV2 5HB, CV2 4AG",2025-11-14T21:47:00,Awaiting,national_grid,2025-11-18T17:54:10.948235
LE4 6BY,2025-11-14T18:39:00,Awaiting,national_grid,2025-11-18T17:54:10.948236
"CV21 3GA, CV21 3SB, CV21 3SD, CV21 3QZ, CV21 3RE, CV21 3RA, CV21 3RD, CV21 3RB, CV21 3PX, CV21 3FD, CV21 3RQ",2025-11-14T22:49:00,Awaiting,national_grid,2025-11-18T17:54:10.948237
LE15 9PB,2025-11-14T14:18:00,In Progress,national_grid,2025-11-18T17:54:10.948238
"PE20 3BB, PE20 3BL",2025-11-14T19:13:00,In Progress,national_grid,2025-11-18T17:54:10.948239
"DE22 3QX, DE22 3RT, DE22 3RH, DE22 3WH, DE22 3WY, DE22 3WT, DE22 3RE, DE22 3RA",2025-11-14T20:22:00,In Progress,national_grid,2025-11-18T17:54:10.948240
"DE12 6QH, DE12 6QE, DE12 6PY, DE12 6QQ, DE12 6QD, DE12 6QJ, DE12 6PZ, DE12 6QS, DE12 6QG",2025-11-14T21:50:00,In Progress,national_grid,2025-11-18T17:54:10.948241
"CV22 6HY, CV22 6JD, CV22 6EZ, CV22 6HZ",2025-11-14T21:58:00,Awaiting,national_grid,2025-11-18T17:54:10.948242
"LE15 8AZ, LE15 8BB, LE15 8AU, LE15 8BD, LE15 8AJ, LE15 8AP, LE15 8AS, LE15 8BQ, LE15 8BY, LE15 6JA, LE15 8BH",2025-11-14T19:56:00,In Progress,national_grid,2025-11-18T17:54:10.948243
"LE9 7AY, LE9 7BS, LE9 7ED, LE9 7AX, LE9 7BR, LE9 7AU",2025-11-14T17:32:00,In Progress,national_grid,2025-11-18T17:54:10.948244
LE3 8JH,2025-11-14T14:26:00,In Progress,national_grid,2025-11-18T17:54:10.948245
CV33 9LR,2025-11-14T17:20:00,Awaiting,national_grid,2025-11-18T17:54:10.948246
"LE3 9GA, LE3 9GB, LE3 9GT, LE3 9FD, LE3 9GU, LE3 9FU, LE3 9FT, LE3 5EZ",2025-11-14T21:45:00,Awaiting,national_grid,2025-11-18T17:54:10.948247
"LN9 6JG, LN9 6JQ, LN9 6JF, LN9 6JH, LN9 6JE",2025-11-14T20:18:00,Awaiting,national_grid,2025-11-18T17:54:10.948248
"CV5 6PY, CV5 6RE, CV5 6QJ, CV5 6QA, CV5 6QH",2025-11-14T18:51:00,Awaiting,national_grid,2025-11-18T17:54:10.948249
"DE4 3HF, DE4 3HE, DE4 3HD, DE4 3HB, DE4 3HG, DE4 3PZ, DE4 3HH, DE4 3GP, DE4 3GZ, DE4 2HJ, DE4 3FH, DE4 3GY, DE4 2LA",2025-11-14T19:18:00,In Progress,national_grid,2025-11-18T17:54:10.948250
"B78 1JA, B78 1JB",2025-11-14T20:02:00,Awaiting,national_grid,2025-11-18T17:54:10.948251
PE12 0PN,2025-11-14T16:22:00,In Progress,national_grid,2025-11-18T17:54:10.948252
"PE24 4HQ, PE24 4HD, PE24 4HH",2025-11-14T17:59:00,In Progress,national_grid,2025-11-18T17:54:10.948253
S44 5HP,2025-11-14T13:56:00,In Progress,national_grid,2025-11-18T17:54:10.948254
LN9 5PP,2025-11-14T18:46:00,In Progress,national_grid,2025-11-18T17:54:10.948255
"DE24 0FH, DE24 0FF, DE24 0FS",2025-11-14T11:40:00,In Progress,national_grid,2025-11-18T17:54:10.948256
"PE25 2RJ, PE25 2PY, PE25 2LS, PE25 2RW, PE25 2RN, PE25 2RP, PE25 2NA, PE25 2NQ, PE25 2RL, PE25 2QF, PE25 2QD, PE25 2NH, PE25 2LR, PE25 2QE, PE25 1GN, PE25 2QB, PE25 2PX, PE25 2LT, PE25 2NJ, PE25 2ND, PE25 2RA, PE25 2PR, PE25 2LZ, PE25 2LW",2025-11-14T20:10:00,In Progress,national_grid,2025-11-18T17:54:10.948257
"DE23 8ES, DE23 8ER, DE23 8EP, DE23 8EQ, DE23 6UT",2025-11-14T20:10:00,In Progress,national_grid,2025-11-18T17:54:10.948260
"NG12 3PP, NG12 3PH, NG12 3PS, NG12 3PG, NG12 3PB, NG12 3NU",2025-11-14T22:07:00,In Progress,national_grid,2025-11-18T17:54:10.948261
"CV6 1FW, CV6 1GE, CV6 1GF, CV6 1FU, CV6 1GQ",2025-11-14T10:24:00,Emergency,national_grid,2025-11-18T17:54:10.948262
"LE6 0JR, LE6 0JY, LE6 0JB, LE6 0JH, LE6 0JQ, LE6 0FZ, LE6 0JN, LE6 0HQ, LE6 0JP",2025-11-14T17:33:00,Awaiting,national_grid,2025-11-18T17:54:10.948263
"CV10 0TB, CV9 1RF, CV10 0SR, CV10 0SP, CV10 0SU, CV10 0SA",2025-11-14T20:27:00,Awaiting,national_grid,2025-11-18T17:54:10.948264
"NG18 5QQ, NG18 5QF, NG18 5QJ, NG18 5QE, NG18 1LE, NG18 5HL",2025-11-14T17:52:00,In Progress,national_grid,2025-11-18T17:54:10.948265
"CV32 7TF, CV32 7TE, CV32 7HN, CV32 7TG, CV32 7TA, CV32 7HP",2025-11-14T17:24:00,In Progress,national_grid,2025-11-18T17:54:10.948266
"NN1 4NA, NN1 4LU, NN1 4LY, NN1 4EW, NN1 4LZ, NN1 4EN",2025-11-14T19:03:00,In Progress,national_grid,2025-11-18T17:54:10.948267
DN22 0JU,2025-11-14T18:28:00,In Progress,national_grid,2025-11-18T17:54:10.948268
"DE13 9JX, DE13 9JU, DE13 9DL, DE13 9NB, DE13 9ND",2025-11-14T21:20:00,In Progress,national_grid,2025-11-18T17:54:10.948269
"CV8 2BW, CV8 2BX",2025-11-14T20:37:00,In Progress,national_grid,2025-11-18T17:54:10.948269
"LE15 9PD, LE15 9PB",2025-11-14T21:56:00,In Progress,national_grid,2025-11-18T17:54:10.948270
"LE8 5PH, LE8 5PA",2025-11-14T16:09:00,In Progress,national_grid,2025-11-18T17:54:10.948271
DE6 3EQ,2025-11-14T15:02:00,In Progress,national_grid,2025-11-18T17:54:10.948272
LE11 5JN,2025-11-14T19:39:00,In Progress,national_grid,2025-11-18T17:54:10.948273
"LE10 2RQ, LE10 2DX, LE10 2DZ, LE10 2DU, LE10 2RF, LE10 2EA, LE10 2RG, LE10 2RD, LE10 2DY, LE10 2HY",2025-11-14T18:29:00,In Progress,national_grid,2025-11-18T17:54:10.948274
"LE5 5AT, LE5 5BJ, LE5 5BG, LE5 5AZ, LE5 5AW, LE5 5AR, LE5 5AP, LE5 5AG, LE5 5AE, CV32 7JD, LE5 5AA, LE5 5BE, LE5 5AY",2025-11-14T19:59:00,In Progress,national_grid,2025-11-18T17:54:10.948275
"CV23 0JU, CV23 0JY, CV23 9EP, CV23 0LB",2025-11-14T15:58:00,In Progress,national_grid,2025-11-18T17:54:10.948276
DE4 3SD,2025-11-14T09:36:00,In Progress,national_grid,2025-11-18T17:54:10.948277
"CV4 9SZ, CV4 9DS",2025-11-14T22:05:00,Awaiting,national_grid,2025-11-18T17:54:10.948278
"DE56 1RZ, DE56 1SA, DE56 1RY, DE56 0DB, DE56 1SB, DE56 1HA, DE56 1JS",2025-11-14T17:44:00,In Progress,national_grid,2025-11-18T17:54:10.948279
"CV3 1HE, CV3 1HF, CV3 1HH, CV3 1HD, CV3 1HG, CV3 1HT",2025-11-14T21:44:00,In Progress,national_grid,2025-11-18T17:54:10.948280
"NG11 9NG, NG11 9NH, NG11 9LT, NG11 9LR, NG11 9LX, NG11 9LS, NG11 9JY, NG11 9LP, NG11 8EA",2025-11-14T18:56:00,Emergency,national_grid,2025-11-18T17:54:10.948281
"LE4 6PD, LE4 6PJ",2025-11-14T23:30:00,Awaiting,national_grid,2025-11-18T17:54:10.948282
"NN16 9JY, NN16 9JT, NN16 9NT, NN16 9JX, NN16 9JU, NN16 9LW",2025-11-14T20:49:00,In Progress,national_grid,2025-11-18T17:54:10.948283
"DE75 7JH, DE75 7JS, DE75 7YA, DE7 8DR, DE75 7JJ",2025-11-14T19:13:00,In Progress,national_grid,2025-11-18T17:54:10.948284
"DE13 8BN, DE13 8RL, DE13 8RP",2025-11-14T18:18:00,In Progress,national_grid,2025-11-18T17:54:10.948285
"CV8 1EW, CV8 1JW, CV8 1JS, CV8 1GE, CV8 1JX, CV8 1JQ, CV8 1GD",2025-11-14T14:31:00,In Progress,national_grid,2025-11-18T17:54:10.948286
S41 8EY,2025-11-14T13:02:00,In Progress,national_grid,2025-11-18T17:54:10.948287
"LE12 9JE, LE12 9HS, LE12 9HU, LE12 9HR, LE12 9NR",2025-11-14T20:30:00,In Progress,national_grid,2025-11-18T17:54:10.948288
"NG12 3PX, NG12 3PW, NG12 3PY",2025-11-14T18:31:00,Emergency,national_grid,2025-11-18T17:54:10.948289
